tree_head,effect_logit
C17.800,0.6325458420643982
C17,0.6247277781913507
C17.300,1.3937915682471642
C20.111,0.17566159446709328
C20,-0.3319253208134559
C14.907,-0.9411454097526408
C14,-0.7985588849488567
C23.888,-0.6209347271414936
C23,-0.22263101502256488
C08.127,-0.7639595226952531
C08.381,1.0334281194405863
C08.730,-0.37361902244464806
C08,-0.1503914428300058
C20.452,-0.1060475065471548
C23.550,-1.4746347464231826
C01.539,-1.2898966420835987
C08.460,-0.6026920561050768
C09.603,-0.6026920561050768
C08.674,-0.8226912050443734
C20.543,-2.144569646885706
C09,-0.23244790742111585
C08.618,-0.6842770309271259
C14.280,-0.765552876749421
F02.830,-0.20935276795826635
G11.561,-0.18472889157554356
C10.597,2.59944577403296
G04.146,0.007719536893237194
F03,1.700511285280735
F03.600,2.534590526990412
C10.228,1.0610263506783035
C10,1.3385451539802922
F03.084,0.9817510570948967
C18.452,0.4021617916166429
C18,-0.6978267210636477
C19.246,-0.011621988627202028
C19,-0.15794510075801863
C01,-0.5885915868928627
C01.252,-1.654162349354274
C16.131,-0.3459493470849364
C16,-0.08562986357326875
C26.088,-0.048176599327901054
C26,-0.406363428275084
C26.404,-0.1308331282853907
C05.116,0.8768518296033616
C05,0.9664148544836757
C10.574,0.23463339861483076
C10.886,-0.606111157970008
F03.870,-0.5970970886207526
C10.803,-0.1136778110151084
F03.615,0.5732571579391209
C04.557,0.4123741923513699
C15.604,2.7737098346224096
C20.683,3.6957068828036914
C04,0.8831076000911735
C15,0.19790688548203225
C02.800,-1.7406422607218086
C12.294,-0.2912573081589962
C13.351,-2.33895675784175
C02.256,-1.54224293321932
C02.928,-0.5162234991189235
C04.588,1.1651241548485962
C12.758,1.1981550455555618
C13,-0.7527736712837731
C02,-1.0428100555913675
C02.440,-0.6280089756890571
C06.552,-1.5454927727741745
C06,-0.8096020025667915
C01.395,-0.30266850944566254
C02.782,-2.1475571799665625
C10.668,0.3843435118932492
C07.465,-0.6247052571987792
C07,-0.3381199217484943
C09.218,-0.16049106363753807
C06.405,1.7271726126561846
C03.752,-1.125252313764039
C03,-0.21502509689827742
G07.690,0.11777800929555791
C12,-0.2670697958544847
C10.114,-0.33310519364174873
C10.314,-0.29601844850044157
F01.145,0.625325845550998
G11.427,0.05327522633206713
C13.703,-1.4439957578279996
C05.550,2.7735254064131127
C05.799,1.3003667831917332
C23.300,0.24041614857376514
C12.777,-1.2426883660918995
C20.673,-1.103148292175279
C02.839,-0.04229565676693222
C08.785,0.08809477679015075
C06.301,0.10486437932547706
C19.344,0.07117571421763907
C06.689,-0.06667078110449044
C04.834,-0.11569708468449022
E01.370,-0.34828294905978724
G09.772,-0.10558821317298628
F03.700,2.067829370893885
C05.651,1.2125182552392821
C02.825,-0.21317518032994096
F03.080,-0.5611213408546706
C16.320,0.9833300214255442
C01.703,-0.2829174476086778
C11.768,-1.2193400500759795
C11,-0.5030886370730169
C07.793,-0.47461030945432153
C26.891,-0.25585673361358763
G07.100,-0.008001720410134378
C18.654,-0.05119248580085278
E05.041,-0.05902225781380574
G07.345,-0.060871881192183445
C25.775,-0.1497840298481298
F03.900,-0.1784917515944608
C25,-0.1860770102470399
F03.400,0.035202980170306986
F03.835,-0.1334823965015369
C19.874,-0.17783276730635025
C04.651,-0.03532694064335546
C04.700,-0.03532694064335546
F01.100,-0.13819146766563292
N05.300,-0.16457628828796758
C19.391,0.016402328813482994
C11.525,-0.3410345377636589
C15.378,-0.7986027030314876
C10.551,-0.12813659335621674
C04.697,0.05253005158426184
C26.558,-0.07331160745923913
C26.531,-0.05043496684602539
C26.117,-0.05642807901675481
G07.203,-0.20250053533836684
C16.614,-0.44582535023389175
C11.270,-0.1542457301988969
C10.900,-0.01747624039871342
C26.915,-0.01747624039871342
F01.700,0.6521755681143604
C11.187,-0.11088044396149725
C11.510,0.0
C07.320,-0.015652077074346606
C05.500,-0.003913019268586651
C06.130,-0.2039456180950549
C23.149,-0.009176134232471208
A11.436,0.0
N04.452,-0.035598548714344314
N05.715,0.12939076988743
C20.841,-0.019718821595976436
G12.122,-0.010769640318554879
C26.874,0.03669908223205507
C25.100,-0.05785639055909137
C02.219,-0.0049578887104066
C03.202,-0.0049578887104066
C19.053,-0.04249640197297465
C04.730,-0.062129724568495505
C10.292,0.13484886677718427
C11.640,-0.07313687809099802
A10.830,-0.004588067116235604
C11.496,-0.07763523229045587
G05.365,-0.0692051917917164
G05.558,-0.023068397770763006
A11.284,-0.04613679554152601
G05.360,-0.04613679554152601
C11.941,-0.026770809587232127
C02.705,-0.059765277311680645
C14.240,-0.09635786020557596
C03.335,-0.07528300350858302
F03.625,2.7423157787459
C11.966,0.0
G08.686,-0.1698930348006427
C02.182,0.0
C02.290,0.0
C12.706,-0.051394006504321306
C10.281,-0.049206266148730395
C24,-0.024603133074365197
C24.900,-0.024603133074365197
C09.775,0.022360638686957694
C02.081,-0.033405009600016376
C11.744,0.0
I01.880,-0.1513278566335975
C03.858,-0.04419535506633977
C26.797,0.0
C22.131,-0.015638307354900263
C22,0.005154036994671628
C25.723,-0.09233775072622047
C10.720,-0.017240680083564587
C11.590,0.24937562099040583
C10.500,0.0437618551418838
N06.230,0.0
N06.850,-0.14843571239701375
C19.642,-0.03412631355420235
C11.294,-0.045625311028049245
C16.300,0.0
C06.844,0.0
L01.143,-0.004807523623986719
L01.559,-0.004807523623986719
F03.675,-0.26433938535376744
C22.362,0.025946381344243503
C26.819,0.0
C19.700,0.0
C19.297,0.0
C19.149,0.0
C06.198,-0.06691078343914951
C08.360,-0.03843163274440703
C09.400,-0.019215816372203515
C02.325,0.0
I03.883,0.0
C20.920,-0.01684317211956431
C26.103,0.0
N03.706,-0.013192410311167252
C06.267,-0.03137927314020222
C05.660,-0.013692279388504713
C08.528,-0.017856538192054083
C02.330,-0.00899464323496024
F03.950,-0.007234745423769458
C04.182,-0.02856330912390623
D02.241,0.6470907917583726
D02.455,0.5136780595640367
D02,1.3574583374486608
D03.383,2.877805861608715
D09.408,0.43926031179450603
D03,1.212134188842322
D09,0.6334166928370202
D20.280,-0.043826175839797574
D26.255,0.15306335104212193
D20,-0.1289321007149936
E05.916,0.12992149366459596
D26,-0.13335419488886058
D02.033,-0.08725904210257167
D02.092,0.7573113467626604
D03.633,0.41816069099006736
D12.644,-1.2798759146097094
D12,-0.1516695793920928
D04.345,-0.004281664927197861
D04.615,-0.4278971140054977
D04,-0.19730955385622254
D04.210,1.2746731775329485
D26.310,-0.1825371816635368
D02.145,-0.15870071061438265
D03.132,0.22438762536621837
D03.605,-0.9914980588856536
D09.698,-0.30125377533223113
D10.251,-0.9407381536491354
D10,-0.2949378496148779
D12.776,2.794677311476097
D02.065,0.8545349641266327
D06.472,-0.029752866325788448
D27.505,0.17220223472285484
D06,-0.015297008645177699
D02.705,-0.9045509757361813
D02.886,1.5971106557707775
D01.875,0.7199837295842995
D02.078,1.4754792449826484
D20.215,-1.702284872654419
D01.210,0.09663434901428725
D01.248,-0.10086219523751083
D01.029,0.05921644869048355
D01,-0.02098923902705221
D01.857,0.02624398106248
G01,-0.014025113962057308
G01.358,-0.016214521324020143
G01.750,-0.02541804222943602
G01.590,-0.008107260662010072
D02.948,0.5946069142516056
D02.540,-0.836034247963216
D13.570,-1.983302612447527
D13,-0.21180838785910405
D27,0.022214656892152292
D26.776,-0.09046471072974496
E05.200,-0.17503516551061452
E01,-0.07485634946693057
E02.800,-0.010956155764521951
E04.665,-0.021912311529043903
E04,-0.20638087254124876
E05,-0.20207782840549154
D06.347,0.06690270394284811
A12.200,-0.005065974293551106
D20.888,-0.010131948587102212
D23.946,-0.08487491303560153
D23,-0.12715773676789474
E05.581,0.050851282147276355
D09.067,-0.06038338327256928
D09.811,-0.10781691777552027
D01.339,-0.01947156947857127
D01.650,-0.02873914660005624
D02.389,-0.01557725854142636
E02.319,0.12657216381115383
D10.477,-0.059516084584443546
D01.268,-0.14667162293942942
D01.496,-0.02340773235879588
D01.552,-0.1287384391349065
D02.626,-0.6310023855849165
D02.691,-0.08839737226043948
D26.650,-0.004453970529430471
D27.720,-0.17904872793953566
H01.770,-0.0066344780810443215
N03.349,-0.03957723192467733
N05.425,-0.013192410311167252
N03,-0.024293006588833117
N04.590,-0.013192410311167252
N05,0.0759733936950822
E05.290,0.0
H01.158,0.0
H01.181,0.0
E05.337,0.0
E02,0.7587003401974932
D23.469,-0.16382520404624157
G09,-0.018516702064298302
D02.355,-0.08803809507002779
D02.522,-0.06220172034331044
N04.761,0.19036091396987073
H02.269,0.04112962118799384
N04,0.04112962118799384
D23.529,0.375554100864401
D01.625,-0.10583425996081462
D02.675,-0.25444939735428
D12.125,0.1069725569201829
D01.132,0.11684860150874192
D02.203,0.11684860150874192
E02.186,-0.0799003360912624
E02.815,-0.08697871163985309
D23.767,0.32155386727715163
G07,-0.04375614648893103
J02,-0.030688191864280907
J02.500,-0.14601283560554312
D01.710,0.027200131271258882
E07.605,-0.004406391661390481
E07,-0.2882529554915429
E04.074,-0.006263816909139073
E05.242,-0.012527633818278146
D01.362,-0.061447695031559946
G07.568,-0.02378624409330424
G11,-0.031590996701943756
I03.350,-0.027161057696431363
E02.085,-0.019747652520104682
F04.047,-0.009873826260052341
E05.472,-0.019747652520104682
G08.852,-0.03203751950101009
G08,-0.028623602226060498
D05.750,-0.02391495774280114
D25.720,-0.03625459641756126
J01.637,-0.07363507836857042
D05,-0.00635060509946719
D03.066,0.24708457237965498
E05.318,-0.09577109062053416
H02.403,-0.04566286231233819
N01.400,-0.11418978173631635
N06,-0.013233373586456277
L01.399,-0.053164133098800574
I03.450,-0.006749626778800854
J01.897,-0.03961499847964845
D23.050,-0.19802737397593342
E02.095,-0.2596961004590238
E05.478,-0.05005109086533403
N02.421,-0.3935788114645816
G12.535,-0.01450480912801106
F01.829,-0.04627719572868362
I01.240,-0.06170292591537759
N01.224,-0.06170292591537759
N01.824,-0.06170292591537759
N01,-0.1163821396287044
M01.785,-0.015425731478844398
D02.925,0.005535298325066058
D01.695,-0.018990846025532353
J01.937,-0.040819159690264256
J01,-0.09249411147836711
D09.853,-0.020129289815587398
D09.400,0.005166470640978541
E02.779,-0.030171196035541074
E02.831,-0.052726858501370565
E05.927,0.0
D01.234,-0.017871611924799687
D08.211,-0.13796761330962604
D08,-0.16103431982724398
D08.811,-1.024866765323466
F04.570,-0.06379912415676348
F04,-0.0686261953182759
D01.303,0.0
D01.935,0.0
D25.223,0.0
D25,-0.018690241731113933
G03,0.0
E04.014,0.0
E02.594,0.0
D02.478,-0.06785117454165424
E04.936,-0.09549819723300297
D09.947,4.2081169444403805
D10.289,0.6286907320636878
D27.888,-0.014829599358649167
A12.207,-0.04945177099307316
E02.258,-0.12602477406680634
E06.342,-0.04151381928697485
E06,-0.013837939444431164
H02.163,-0.013837939444431164
D08.622,-0.017761183788435227
D23.119,-0.12699146447362855
D01.490,-0.03857434116338001
E02.041,-0.11320346804647786
E02.880,-0.04218647627840337
E02.365,-0.010546619069600843
D10.212,-0.17374758481650962
D10.627,-0.1273786108691028
D13.444,0.08240378260644218
E07.695,-0.042675237980962996
E02.148,-0.037484316750528365
E04.100,-0.17161277171431757
E04.502,-0.09032408141918442
E05.157,-0.037484316750528365
E04.928,-0.11102968294814441
E02.870,-0.028084308891129093
E04.950,-0.0270288861835943
D10.570,-0.17993999713884903
G10.261,-0.03143010648981008
G10,-0.01571505324490504
E04.580,0.0
E02.760,-0.08467815890052978
D02.806,0.03525070809768525
I01.261,-0.01110059627766584
N03.219,-0.02220119255533168
D13.695,-0.15721429361600398
E04.270,-0.013938608193014967
E02.642,0.0
D02.640,0.29845610279846263
F04.754,-0.14225113287574673
E02.190,-0.08027794753433921
E04.210,-0.16906025319475057
E04.579,-0.13648065320390348
D02.442,-0.014899691252924214
D02.654,-0.013358951608723047
D01.045,-0.07023351020396053
D01.056,0.0
D01.578,0.0
J02.200,0.0
E04.525,-0.005796195506071953
E05.873,-0.0038641302414145944
E02.331,-0.009615047247973438
E05.723,-0.004807523623986719
F04.669,-0.01442257046004346
E05.796,-0.004807523623986719
D01.786,-0.004807523623986719
E07.230,0.0
E07.305,0.0
E05.940,-0.014905025500232155
E04.292,-0.017466835617443298
E05.196,-0.048003477564615246
G01.280,-0.009643185267629738
G02.263,-0.009643185267629738
G02,-0.004821592633814869
D01.200,-0.09162956270853692
D01.510,-0.03522337116685015
E07.206,-0.007177464945267833
E02.860,0.021832651659376336
G09.330,0.0
E02.900,0.0
I03.050,0.0
E07.505,0.0
E07.858,0.0
E02.912,-0.015647300699627126
E02.120,-0.015647300699627126
F02.463,-0.011179565998039947
E05.393,-0.08863731994324342
E07.877,-0.2575346757250984
E05.980,-0.009633084748481954
D04.075,-0.009098769881865303
G05,0.026993812234632257
G05.380,0.026993812234632257
E02.585,-0.07101699176807429
E05.497,-0.07101699176807429
E05.245,0.0
L01.313,0.0
E04.515,0.0
F04.711,-0.02443140283643307
N05.700,-0.04862312040978293
F01.058,-0.018304757896927846
J01.516,0.0
